Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-30 17:31:30,2560-10-30 17:34:45,3m - 15.587s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Prediction Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-30 17:31:30,2560-10-30 17:31:58,28.028s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-30 17:31:31,2560-10-30 17:31:33,2.315s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-30 17:31:33,2560-10-30 17:31:33,0.219s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-30 17:31:33,2560-10-30 17:31:37,4.147s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:31:37,2560-10-30 17:31:37,0.183s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-30 17:31:37,2560-10-30 17:31:38,0.108s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:31:38,2560-10-30 17:31:38,0.316s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:31:38,2560-10-30 17:31:38,0.049s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:31:38,2560-10-30 17:31:58,20.040s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:31:58,2560-10-30 17:31:58,0.132s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-30 17:31:58,2560-10-30 17:31:58,0.002s,NOT_RUN
,,,,,,
Test Cases/2. Login/Sign Up,Chrome 61.0.3163.100,,2560-10-30 17:31:58,2560-10-30 17:32:15,16.413s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.002s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.002s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.004s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.186s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.081s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.146s,PASSED
Statement - date = new java.util.Date(),Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.005s,PASSED
"Statement - out.println(""Current Date : "" + date.toString())",Chrome 61.0.3163.100,,2560-10-30 17:31:59,2560-10-30 17:31:59,0.018s,PASSED
