Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-19 13:47:43,2560-10-19 13:50:21,2m - 38.250s,FAILED
,,,,,,
Test Cases/Basic work/Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-19 13:47:44,2560-10-19 13:48:15,30.980s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 13:47:44,2560-10-19 13:47:48,3.065s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 13:47:48,2560-10-19 13:47:48,0.207s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 13:47:48,2560-10-19 13:47:53,5.031s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 13:47:53,2560-10-19 13:47:53,0.480s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 13:47:53,2560-10-19 13:47:54,0.275s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 13:47:54,2560-10-19 13:48:14,20.750s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 13:48:14,2560-10-19 13:48:15,0.214s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:15,0.002s,NOT_RUN
,,,,,,
Test Cases/Basic work/Login,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:17,2.152s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:15,0.007s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:15,0.020s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:15,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:15,0.495s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 13:48:15,2560-10-19 13:48:16,0.310s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 13:48:16,2560-10-19 13:48:16,0.232s,PASSED
submit,Chrome 61.0.3163.100,,2560-10-19 13:48:16,2560-10-19 13:48:16,0.118s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-19 13:48:16,2560-10-19 13:48:17,0.581s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.001s,NOT_RUN
,,,,,,
Test Cases/Basic work/Single Verbatim with login,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:39,22.070s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.001s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.000s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.001s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.334s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:17,0.129s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 13:48:17,2560-10-19 13:48:39,21.168s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 13:48:39,2560-10-19 13:48:39,0.218s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 13:48:39,2560-10-19 13:48:39,0.002s,NOT_RUN
,,,,,,
Test Cases/Basic work/Upload File without labelling,Chrome 61.0.3163.100,,2560-10-19 13:48:39,2560-10-19 13:49:31,51.836s,PASSED
