Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Firefox 56.0,,2560-11-01 10:43:50,2560-11-01 10:47:34,3m - 43.588s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Prediction Single Verbatim without login,Firefox 56.0,,2560-11-01 10:43:51,2560-11-01 10:44:20,29.225s,FAILED
openBrowser,Firefox 56.0,\u0E40\u0E1B\u0E34\u0E14\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-01 10:43:51,2560-11-01 10:44:05,13.356s,PASSED
maximizeWindow,Firefox 56.0,\u0E02\u0E22\u0E32\u0E22\u0E2B\u0E19\u0E49\u0E32\u0E08\u0E2D\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C\r\n,2560-11-01 10:44:05,2560-11-01 10:44:05,0.364s,FAILED
navigateToUrl,Firefox 56.0,\u0E40\u0E02\u0E49\u0E32\u0E2A\u0E39\u0E48 URL ,2560-11-01 10:44:05,2560-11-01 10:44:06,1.154s,FAILED
click,Firefox 56.0,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-01 10:44:06,2560-11-01 10:44:08,2.120s,FAILED
verifyElementPresent,Firefox 56.0,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E41\u0E08\u0E49\u0E07\u0E40\u0E15\u0E37\u0E2D\u0E19\u0E01\u0E25\u0E48\u0E2D\u0E07\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E27\u0E48\u0E32\u0E07\r\n,2560-11-01 10:44:08,2560-11-01 10:44:10,2.074s,FAILED
setText,Firefox 56.0,\u0E01\u0E23\u0E2D\u0E01\u0E02\u0E49\u0E2D\u0E04\u0E27\u0E32\u0E21\u0E40\u0E1E\u0E37\u0E48\u0E2D Predict ,2560-11-01 10:44:10,2560-11-01 10:44:12,2.067s,FAILED
click,Firefox 56.0,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 Predict,2560-11-01 10:44:12,2560-11-01 10:44:14,2.037s,FAILED
click,Firefox 56.0,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C\u0E01\u0E32\u0E23 Predict \u0E1A\u0E23\u0E23\u0E17\u0E31\u0E14\u0E17\u0E35\u0E48 1,2560-11-01 10:44:14,2560-11-01 10:44:17,2.066s,FAILED
click,Firefox 56.0,\u0E15\u0E23\u0E27\u0E08\u0E2A\u0E2D\u0E1A\u0E1C\u0E25\u0E25\u0E31\u0E1E\u0E18\u0E4C\u0E01\u0E32\u0E23 Predict \u0E1A\u0E23\u0E23\u0E17\u0E31\u0E14\u0E17\u0E35\u0E48 2,2560-11-01 10:44:17,2560-11-01 10:44:19,2.043s,FAILED
closeBrowser,Firefox 56.0,\u0E1B\u0E34\u0E14\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-01 10:44:19,2560-11-01 10:44:20,1.415s,FAILED
,,,,,,
Test Cases/2. Login/Sign Up,Firefox 56.0,,2560-11-01 10:44:20,2560-11-01 10:44:46,26.350s,FAILED
openBrowser,Firefox 56.0,\u0E40\u0E1B\u0E34\u0E14\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-01 10:44:21,2560-11-01 10:44:29,8.261s,PASSED
maximizeWindow,Firefox 56.0,\u0E02\u0E22\u0E32\u0E22\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E40\u0E1A\u0E23\u0E32\u0E40\u0E0B\u0E2D\u0E23\u0E4C,2560-11-01 10:44:29,2560-11-01 10:44:29,0.308s,PASSED
navigateToUrl,Firefox 56.0,\u0E40\u0E02\u0E49\u0E32\u0E2A\u0E39\u0E48 URL,2560-11-01 10:44:29,2560-11-01 10:44:38,8.694s,FAILED
click,Firefox 56.0,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Login,2560-11-01 10:44:38,2560-11-01 10:44:40,2.076s,FAILED
scrollToElement,Firefox 56.0,\u0E40\u0E25\u0E37\u0E48\u0E2D\u0E19\u0E2B\u0E19\u0E49\u0E32\u0E15\u0E48\u0E32\u0E07\u0E21\u0E32\u0E22\u0E31\u0E07\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-01 10:44:40,2560-11-01 10:44:42,2.103s,FAILED
click,Firefox 56.0,\u0E04\u0E25\u0E34\u0E01\u0E1B\u0E38\u0E48\u0E21 Sign Up,2560-11-01 10:44:42,2560-11-01 10:44:44,2.025s,FAILED
Statement - date = new java.util.Date(),Firefox 56.0,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07\u0E04\u0E2D\u0E21\u0E1E\u0E34\u0E27\u0E40\u0E15\u0E2D\u0E23\u0E4C,2560-11-01 10:44:44,2560-11-01 10:44:44,0.006s,PASSED
"Statement - out.println(""Current Date : "" + date.toString())",Firefox 56.0,\u0E40\u0E01\u0E47\u0E1A\u0E40\u0E27\u0E25\u0E32\u0E1B\u0E31\u0E08\u0E08\u0E38\u0E1A\u0E31\u0E19\u0E02\u0E2D\u0E07\u0E40\u0E04\u0E23\u0E37\u0E48\u0E2D\u0E07\u0E04\u0E2D\u0E21\u0E1E\u0E34\u0E27\u0E40\u0E15\u0E2D\u0E23\u0E4C,2560-11-01 10:44:44,2560-11-01 10:44:44,0.015s,PASSED
setText,Firefox 56.0,\u0E01\u0E23\u0E2D\u0E01 Username,2560-11-01 10:44:44,2560-11-01 10:44:46,2.064s,FAILED
,,,,,,
Test Cases/2. Login/Login,Firefox 56.0,,2560-11-01 10:44:47,2560-11-01 10:45:23,36.804s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:44:47,2560-11-01 10:44:47,0.001s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:44:47,2560-11-01 10:44:47,0.000s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:44:47,2560-11-01 10:44:47,0.001s,NOT_RUN
click,Firefox 56.0,\u0E01\u0E14\u0E1B\u0E38\u0E48\u0E21 login,2560-11-01 10:44:47,2560-11-01 10:44:49,2.018s,FAILED
submit,Firefox 56.0,,2560-11-01 10:44:49,2560-11-01 10:44:51,2.029s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:44:51,2560-11-01 10:44:53,2.035s,FAILED
setText,Firefox 56.0,,2560-11-01 10:44:53,2560-11-01 10:44:55,2.019s,FAILED
submit,Firefox 56.0,,2560-11-01 10:44:55,2560-11-01 10:44:57,2.020s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:44:57,2560-11-01 10:44:59,2.078s,FAILED
setText,Firefox 56.0,,2560-11-01 10:44:59,2560-11-01 10:45:01,2.012s,FAILED
submit,Firefox 56.0,,2560-11-01 10:45:01,2560-11-01 10:45:03,2.019s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:03,2560-11-01 10:45:05,2.063s,FAILED
setText,Firefox 56.0,,2560-11-01 10:45:05,2560-11-01 10:45:07,2.019s,FAILED
submit,Firefox 56.0,,2560-11-01 10:45:07,2560-11-01 10:45:09,2.030s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:09,2560-11-01 10:45:11,2.073s,FAILED
setText,Firefox 56.0,,2560-11-01 10:45:11,2560-11-01 10:45:13,2.045s,FAILED
submit,Firefox 56.0,,2560-11-01 10:45:13,2560-11-01 10:45:15,2.023s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:15,2560-11-01 10:45:17,2.042s,FAILED
setText,Firefox 56.0,,2560-11-01 10:45:17,2560-11-01 10:45:19,2.012s,FAILED
submit,Firefox 56.0,,2560-11-01 10:45:19,2560-11-01 10:45:21,2.024s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:21,2560-11-01 10:45:23,2.073s,FAILED
closeBrowser,Firefox 56.0,,2560-11-01 10:45:23,2560-11-01 10:45:23,0.001s,NOT_RUN
,,,,,,
Test Cases/3. Menu Text Prediction/Single Verbatim with login,Firefox 56.0,,2560-11-01 10:45:23,2560-11-01 10:45:36,12.491s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.001s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.001s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.000s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:24,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:45:24,2560-11-01 10:45:26,2.017s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:26,2560-11-01 10:45:28,2.069s,FAILED
setText,Firefox 56.0,,2560-11-01 10:45:28,2560-11-01 10:45:30,2.024s,FAILED
click,Firefox 56.0,,2560-11-01 10:45:30,2560-11-01 10:45:32,2.011s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:32,2560-11-01 10:45:34,2.019s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:45:34,2560-11-01 10:45:36,2.010s,FAILED
closeBrowser,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.000s,NOT_RUN
,,,,,,
Test Cases/Basic work/Upload File without labelling,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:46:07,31.522s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.000s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.001s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:36,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:45:36,2560-11-01 10:45:38,2.033s,FAILED
click,Firefox 56.0,,2560-11-01 10:45:38,2560-11-01 10:45:40,2.155s,FAILED
uploadFile,Firefox 56.0,,2560-11-01 10:45:40,2560-11-01 10:45:42,2.133s,FAILED
waitForElementClickable,Firefox 56.0,,2560-11-01 10:45:42,2560-11-01 10:45:45,2.134s,FAILED
click,Firefox 56.0,,2560-11-01 10:45:45,2560-11-01 10:45:47,2.025s,FAILED
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:45:47,2560-11-01 10:45:49,2.148s,FAILED
click,Firefox 56.0,,2560-11-01 10:45:49,2560-11-01 10:45:51,2.086s,PASSED
selectOptionByValue,Firefox 56.0,,2560-11-01 10:45:51,2560-11-01 10:45:53,2.111s,FAILED
waitForElementPresent,Firefox 56.0,,2560-11-01 10:45:53,2560-11-01 10:45:55,2.093s,FAILED
click,Firefox 56.0,,2560-11-01 10:45:55,2560-11-01 10:45:57,2.068s,PASSED
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:45:57,2560-11-01 10:45:59,2.024s,FAILED
waitForElementPresent,Firefox 56.0,,2560-11-01 10:45:59,2560-11-01 10:46:01,2.042s,FAILED
scrollToElement,Firefox 56.0,,2560-11-01 10:46:01,2560-11-01 10:46:03,2.047s,FAILED
click,Firefox 56.0,,2560-11-01 10:46:03,2560-11-01 10:46:05,2.088s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:46:05,2560-11-01 10:46:07,2.097s,FAILED
closeBrowser,Firefox 56.0,,2560-11-01 10:46:07,2560-11-01 10:46:07,0.000s,NOT_RUN
,,,,,,
Test Cases/Basic work/Predicted Multiple Verbatim/Prediction in details Select All list,Firefox 56.0,,2560-11-01 10:46:07,2560-11-01 10:46:10,2.249s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.002s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.002s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.005s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.002s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.003s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.002s,NOT_RUN
uploadFile,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
waitForElementClickable,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.000s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.003s,NOT_RUN
selectOptionByValue,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.000s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.000s,NOT_RUN
scrollToElement,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.002s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:08,0.001s,NOT_RUN
verifyElementPresent,Firefox 56.0,,2560-11-01 10:46:08,2560-11-01 10:46:10,2.036s,FAILED
closeBrowser,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
,,,,,,
Test Cases/Basic work/Predicted Multiple Verbatim/Prediction in details display Acccessibility list,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:16,6.440s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
uploadFile,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
waitForElementClickable,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
selectOptionByValue,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.002s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
scrollToElement,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:10,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:10,2560-11-01 10:46:12,2.051s,FAILED
check,Firefox 56.0,,2560-11-01 10:46:12,2560-11-01 10:46:14,2.054s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:46:14,2560-11-01 10:46:16,2.034s,FAILED
closeBrowser,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
,,,,,,
Test Cases/Basic work/Predicted Multiple Verbatim/Prediction in details display Company Brand list,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:25,8.357s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.000s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.002s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.004s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
uploadFile,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.000s,NOT_RUN
waitForElementClickable,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.000s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
selectOptionByValue,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.000s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
scrollToElement,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:16,0.005s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:16,2560-11-01 10:46:19,2.034s,FAILED
click,Firefox 56.0,,2560-11-01 10:46:19,2560-11-01 10:46:21,2.032s,FAILED
check,Firefox 56.0,,2560-11-01 10:46:21,2560-11-01 10:46:23,2.055s,FAILED
verifyElementPresent,Firefox 56.0,,2560-11-01 10:46:23,2560-11-01 10:46:25,2.032s,FAILED
closeBrowser,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
,,,,,,
Test Cases/Basic work/Predicted Multiple Verbatim/Prediction in details display Competitors list,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:33,8.379s,FAILED
openBrowser,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
maximizeWindow,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
navigateToUrl,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
setText,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.004s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.005s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
uploadFile,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
waitForElementClickable,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.002s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
selectOptionByValue,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
waitForElementNotPresent,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
check,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
scrollToElement,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.001s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:25,0.000s,NOT_RUN
click,Firefox 56.0,,2560-11-01 10:46:25,2560-11-01 10:46:27,2.023s,FAILED
click,Firefox 56.0,,2560-11-01 10:46:27,2560-11-01 10:46:29,2.023s,FAILED
check,Firefox 56.0,,2560-11-01 10:46:29,2560-11-01 10:46:31,2.106s,FAILED
