Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-30 17:27:11,2560-10-30 17:29:39,2m - 27.778s,FAILED
,,,,,,
Test Cases/1. Start Page (without login)/Prediction Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-30 17:27:11,2560-10-30 17:27:38,26.863s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-30 17:27:12,2560-10-30 17:27:14,2.252s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-30 17:27:14,2560-10-30 17:27:14,0.179s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-30 17:27:14,2560-10-30 17:27:19,4.554s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:27:19,2560-10-30 17:27:19,0.152s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-30 17:27:19,2560-10-30 17:27:19,0.083s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:19,2560-10-30 17:27:19,0.363s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:27:19,2560-10-30 17:27:19,0.062s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:27:19,2560-10-30 17:27:38,18.531s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:27:38,2560-10-30 17:27:38,0.133s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-30 17:27:38,2560-10-30 17:27:38,0.002s,NOT_RUN
,,,,,,
Test Cases/2. Login/Sign Up,Chrome 61.0.3163.100,,2560-10-30 17:27:38,2560-10-30 17:27:49,11.055s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.001s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.182s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.102s,PASSED
click,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.140s,PASSED
Statement - date = new java.util.Date(),Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.006s,PASSED
"Statement - out.println(""Current Date : "" + date.toString())",Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.016s,PASSED
verifyElementNotClickable,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.154s,PASSED
uploadFile,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.111s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:39,0.194s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:39,2560-10-30 17:27:40,0.213s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.217s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.045s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.082s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.163s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.034s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.076s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.098s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:40,0.066s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:40,2560-10-30 17:27:41,0.367s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:41,2560-10-30 17:27:41,0.134s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-30 17:27:41,2560-10-30 17:27:41,0.038s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:41,2560-10-30 17:27:41,0.209s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-30 17:27:41,2560-10-30 17:27:41,0.104s,PASSED
