Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-19 15:10:09,2560-10-19 15:13:42,3m - 32.888s,FAILED
,,,,,,
Test Cases/Basic work/Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-19 15:10:09,2560-10-19 15:10:40,30.594s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:10:10,2560-10-19 15:10:13,2.840s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:10:13,2560-10-19 15:10:13,0.189s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:10:13,2560-10-19 15:10:18,5.219s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:10:18,2560-10-19 15:10:19,0.508s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:10:19,2560-10-19 15:10:19,0.179s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:10:19,2560-10-19 15:10:40,20.729s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:40,0.210s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:40,0.003s,NOT_RUN
,,,,,,
Test Cases/Basic work/Login,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:42,1.765s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:40,0.002s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:40,0.003s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:40,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:10:40,2560-10-19 15:10:41,0.295s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:10:41,2560-10-19 15:10:41,0.263s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:10:41,2560-10-19 15:10:41,0.202s,PASSED
submit,Chrome 61.0.3163.100,,2560-10-19 15:10:41,2560-10-19 15:10:41,0.106s,PASSED
