Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-19 14:59:39,2560-10-19 15:02:58,3m - 18.388s,FAILED
,,,,,,
Test Cases/Basic work/Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-19 14:59:40,2560-10-19 15:00:10,30.483s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 14:59:40,2560-10-19 14:59:43,2.404s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 14:59:43,2560-10-19 14:59:43,0.239s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 14:59:43,2560-10-19 14:59:47,4.552s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 14:59:47,2560-10-19 14:59:48,0.300s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 14:59:48,2560-10-19 14:59:48,0.144s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 14:59:48,2560-10-19 15:00:10,22.129s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:10,0.131s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:10,0.001s,NOT_RUN
,,,,,,
Test Cases/Basic work/Login,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:12,1.459s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:10,0.002s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:10,0.002s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:10,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:00:10,2560-10-19 15:00:11,0.210s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:00:11,2560-10-19 15:00:11,0.206s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:00:11,2560-10-19 15:00:11,0.151s,PASSED
submit,Chrome 61.0.3163.100,,2560-10-19 15:00:11,2560-10-19 15:00:11,0.070s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-19 15:00:11,2560-10-19 15:00:12,0.554s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:00:12,2560-10-19 15:00:12,0.001s,NOT_RUN
,,,,,,
