Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Basic work,Chrome 61.0.3163.100,,2560-10-19 15:05:44,2560-10-19 15:08:59,3m - 14.427s,FAILED
,,,,,,
Test Cases/Basic work/Single Verbatim without login,Chrome 61.0.3163.100,,2560-10-19 15:05:45,2560-10-19 15:06:16,30.989s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:05:46,2560-10-19 15:05:49,2.895s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:05:49,2560-10-19 15:05:49,0.224s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:05:49,2560-10-19 15:05:53,4.696s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:05:53,2560-10-19 15:05:54,0.619s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:05:54,2560-10-19 15:05:54,0.181s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:05:54,2560-10-19 15:06:15,21.244s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:15,2560-10-19 15:06:16,0.187s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:06:16,2560-10-19 15:06:16,0.002s,NOT_RUN
,,,,,,
Test Cases/Basic work/Login,Chrome 61.0.3163.100,,2560-10-19 15:06:16,2560-10-19 15:06:18,2.208s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:06:16,2560-10-19 15:06:16,0.002s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:06:16,2560-10-19 15:06:16,0.006s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:06:16,2560-10-19 15:06:16,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:06:16,2560-10-19 15:06:17,0.483s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:17,2560-10-19 15:06:17,0.323s,PASSED
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:17,2560-10-19 15:06:17,0.289s,PASSED
submit,Chrome 61.0.3163.100,,2560-10-19 15:06:17,2560-10-19 15:06:17,0.121s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-19 15:06:17,2560-10-19 15:06:18,0.608s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.001s,NOT_RUN
,,,,,,
Test Cases/Basic work/Single Verbatim with login,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:40,21.796s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.001s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.002s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.003s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:18,0.001s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:18,2560-10-19 15:06:19,0.327s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:19,2560-10-19 15:06:19,0.144s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:19,2560-10-19 15:06:39,20.718s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:39,2560-10-19 15:06:40,0.340s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.001s,NOT_RUN
,,,,,,
Test Cases/Basic work/Upload File without labelling,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:07:32,51.904s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.001s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.005s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.001s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:40,0.209s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:40,2560-10-19 15:06:41,0.330s,PASSED
uploadFile,Chrome 61.0.3163.100,,2560-10-19 15:06:41,2560-10-19 15:06:41,0.211s,PASSED
waitForElementClickable,Chrome 61.0.3163.100,,2560-10-19 15:06:41,2560-10-19 15:06:41,0.162s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:41,2560-10-19 15:06:41,0.200s,PASSED
waitForElementNotPresent,Chrome 61.0.3163.100,,2560-10-19 15:06:41,2560-10-19 15:06:43,1.261s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:06:43,2560-10-19 15:07:14,31.115s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2560-10-19 15:07:14,2560-10-19 15:07:14,0.330s,PASSED
waitForElementPresent,Chrome 61.0.3163.100,,2560-10-19 15:07:14,2560-10-19 15:07:19,4.759s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:07:19,2560-10-19 15:07:19,0.147s,PASSED
waitForElementNotPresent,Chrome 61.0.3163.100,,2560-10-19 15:07:19,2560-10-19 15:07:20,0.586s,PASSED
waitForElementPresent,Chrome 61.0.3163.100,,2560-10-19 15:07:20,2560-10-19 15:07:20,0.055s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2560-10-19 15:07:20,2560-10-19 15:07:20,0.085s,PASSED
click,Chrome 61.0.3163.100,,2560-10-19 15:07:20,2560-10-19 15:07:20,0.178s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2560-10-19 15:07:20,2560-10-19 15:07:32,11.876s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.002s,NOT_RUN
,,,,,,
Test Cases/Basic work/Predicted Multiple Verbatim/Prediction in details Select All list,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.356s,PASSED
openBrowser,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
maximizeWindow,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.002s,NOT_RUN
setText,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.000s,NOT_RUN
uploadFile,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
waitForElementClickable,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2560-10-19 15:07:32,2560-10-19 15:07:32,0.001s,NOT_RUN
